barangay_clean,barangay_alt_name,barangay_psgc,city/municipality,city/mun_psgc,province,province_psgc,region_number,region_name,region_psgc,island_group,country,country_psgc,area_sqkm,barangay_raw,category
Banaban,,PH0301401001,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.7905930569159203,Banaban,Other
Baybay,,PH0301401002,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.5086061245609483,Baybay,Other
Binagbag,,PH0301401003,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.0878250016582314,Binagbag,Other
Donacion,,PH0301401005,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.1659904796329665,Donacion,Other Persons
Encanto,,PH0301401006,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,7.989126555458191,Encanto,Other
Laog,,PH0301401007,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.070577928072791,Laog,Other
Marungko,,PH0301401008,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.2434615247327057,Marungko,Other
Niugan,,PH0301401009,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.057147551354195,Niugan,Other
Paltok,,PH0301401010,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.113450510418316,Paltok,Other
Pulong Yantok,,PH0301401013,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,6.008800388843391,Pulong Yantok,Other
San Roque,,PH0301401014,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.3600676156815898,San Roque (Pob.),Religious
Santa Cruz,,PH0301401015,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.7275570457690144,Santa Cruz (Pob.),Religious
Santa Lucia,,PH0301401016,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.1877781254900572,Santa Lucia,Religious
Santo Cristo,,PH0301401017,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.27746836578350137,Santo Cristo (Pob.),Religious
Sulucan,,PH0301401018,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.82610685320161,Sulucan,Other
Taboc,,PH0301401019,Angat,PH0301401,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.993732670872602,Taboc,Other
Borol 2nd,,PH0301402002,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.0323807865978947,Borol 2nd,Other
Borol 1st,,PH0301402003,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.4090190999157242,Borol 1st,Other
Dalig,,PH0301402004,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.8474339145130068,Dalig,Other
Longos,,PH0301402005,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3883156387958701,Longos,Other
Panginay,,PH0301402007,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.2232297821587736,Panginay,Other
Pulong Gubat,,PH0301402008,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.54251911151393,Pulong Gubat,Other
San Juan,,PH0301402009,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,6.685103043732182,San Juan,Religious
Santol,,PH0301402010,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.723572270037641,Santol,Fruit/Plant
Wawa,,PH0301402011,Balagtas (Bigaa),PH0301402,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6290533650388885,Wawa (Pob.),Other
Bagong Nayon,,PH0301403001,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3870548914892379,Bagong Nayon,Other
Barangca,,PH0301403002,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.5465072132145292,Barangca,Other
Calantipay,,PH0301403003,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.070632660320726,Calantipay,Other
Catulinan,,PH0301403004,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.3521891808144142,Catulinan,Other
Concepcion,,PH0301403005,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6508480702683692,Concepcion,Religious
Hinukay,,PH0301403006,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.3613991819899303,Hinukay,Other
Makinabang,,PH0301403007,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.6025162433662197,Makinabang,Other
Matangtubig,,PH0301403008,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.5688684242024347,Matangtubig,Other
Pagala,,PH0301403010,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.0744537500498357,Pagala,Other
Paitan,,PH0301403011,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.0895486763842803,Paitan,Other
Piel,,PH0301403012,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.1401890898080693,Piel,Other
Pinagbarilan,,PH0301403013,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.873920576104365,Pinagbarilan,Other
Poblacion,,PH0301403014,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5098121320728038,Poblacion,Poblacion (Town Proper)
Sabang,,PH0301403016,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.381219329144171,Sabang,Other
San Jose,,PH0301403017,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.891559937039122,San Jose,Religious
San Roque,,PH0301403018,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.2425701754609513,San Roque,Religious
Santa Barbara,,PH0301403019,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.9414571745492846,Santa Barbara,Religious
Santo Cristo,,PH0301403020,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.47050511108030385,Santo Cristo,Religious
Santo Nino,,PH0301403021,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7746927094550903,Santo Niño,Religious
Subic,,PH0301403022,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.42880224510412057,Subic,Other
Sulivan,,PH0301403023,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.932642758040244,Sulivan,Other
Tangos,,PH0301403024,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.339817810068739,Tangos,Other
Tarcan,,PH0301403025,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,7.792561528291699,Tarcan,Other
Tiaong,,PH0301403026,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.349511885031525,Tiaong,Other
Tibag,,PH0301403027,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.28550064478007575,Tibag,Other
Tilapayong,,PH0301403028,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.2957154308405017,Tilapayong,Other
Virgen delas Flores,,PH0301403030,City of Baliwag,PH0301403,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.405397630754733,Virgen delas Flores,Other Persons
Antipona,,PH0301404001,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.053461182724043974,Antipona,Other
Bagumbayan,,PH0301404002,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5218314527451039,Bagumbayan,Other
Bambang,,PH0301404003,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.283705421596512,Bambang,Other
Batia,,PH0301404004,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.500442280292924,Batia,Other
Binang 1st,,PH0301404005,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.37958639173582354,Biñang 1st,Other
Binang 2nd,,PH0301404006,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.47594718685542337,Biñang 2nd,Other
Bolacan,,PH0301404007,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7736385204258253,Bolacan,Other
Bundukan,,PH0301404008,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.6234881102553613,Bundukan,Other
Bunlo,,PH0301404009,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.383360591461284,Bunlo,Other
Caingin,,PH0301404010,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3410709309259605,Caingin,Other
Duhat,,PH0301404011,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.2620241334691924,Duhat,Fruit/Plant
Igulot,,PH0301404012,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.0706252015451034,Igulot,Other
Lolomboy,,PH0301404013,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.403768467236774,Lolomboy,Other
Poblacion,,PH0301404014,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.05778477397645384,Poblacion,Poblacion (Town Proper)
Sulucan,,PH0301404015,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7581088035945512,Sulucan,Other
Taal,,PH0301404016,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.8959022095202755,Taal,Other
Tambobong,,PH0301404017,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.170710395182392,Tambobong,Other
Turo,,PH0301404018,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.5068412286760997,Turo,Other
Wakas,,PH0301404019,Bocaue,PH0301404,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.8902142051166153,Wakas,Other
Bagumbayan,,PH0301405001,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.752147535712944,Bagumbayan,Other
Balubad,,PH0301405002,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.9981339856775874,Balubad,Other
Bambang,,PH0301405003,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,14.27072386894103,Bambang,Other
Matungao,,PH0301405004,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.457493098002101,Matungao,Other
Maysantol,,PH0301405005,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.37235932966425667,Maysantol,Other
Perez,,PH0301405006,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.486675695133089,Perez,Other
Pitpitan,,PH0301405007,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.2707081966583704,Pitpitan,Other
San Francisco,,PH0301405009,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.4937786798657764,San Francisco,Religious
San Jose,,PH0301405010,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.543458842129418,San Jose (Pob.),Religious
San Nicolas,,PH0301405012,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,16.502695421935965,San Nicolas,Religious
Santa Ana,,PH0301405013,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,4.942284834777467,Santa Ana,Religious
Santa Ines,,PH0301405014,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.16207075835886853,Santa Ines,Religious
Taliptip,,PH0301405015,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,23.795796224502027,Taliptip,Other
Tibig,,PH0301405016,Bulacan,PH0301405,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.288793576272216,Tibig,Other
Bonga Mayor,,PH0301406001,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.9758846609395149,Bonga Mayor,Other Persons
Bonga Menor,,PH0301406002,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.647142151833338,Bonga Menor,Other
Buisan,,PH0301406003,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6687571778351967,Buisan,Other
Camachilihan,,PH0301406004,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.8979445211066346,Camachilihan,Other
Cambaog,,PH0301406005,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.9316051764311604,Cambaog,Other
Catacte,,PH0301406006,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.198853260375663,Catacte,Other
Liciada,,PH0301406007,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,4.171960102107892,Liciada,Other
Malamig,,PH0301406008,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,4.959628147633813,Malamig,Other
Malawak,,PH0301406009,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.221548946545892,Malawak,Other
Poblacion,,PH0301406010,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.5808761212847424,Poblacion,Poblacion (Town Proper)
San Pedro,,PH0301406011,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.9542193699649966,San Pedro,Religious
Talampas,,PH0301406012,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.3830099780421756,Talampas,Other
Tanawan,,PH0301406013,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.1428707344802294,Tanawan,Other
Tibagan,,PH0301406014,Bustos,PH0301406,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.130731035061628,Tibagan,Other
Balite,,PH0301407001,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.7877135550214159,Balite,Other
Balungao,,PH0301407002,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6710216082109229,Balungao,Other
Buguion,,PH0301407004,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.5600554504186128,Buguion,Other
Bulusan,,PH0301407005,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.293947953719144,Bulusan,Other
Calizon,,PH0301407006,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.9746406248192556,Calizon,Other
Calumpang,,PH0301407007,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.764832699979088,Calumpang,Other
Caniogan,,PH0301407008,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.8217619848604888,Caniogan,Other
Corazon,,PH0301407009,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.21507553158532133,Corazon,Other
Frances,,PH0301407010,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.2001740332306894,Frances,Other
Gatbuca,,PH0301407011,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5468797784158388,Gatbuca,Other
Gugo,,PH0301407012,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.3618877185249327,Gugo,Other
Iba Este,,PH0301407013,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.08154702140104,Iba Este,Other
Iba OEste,,PH0301407014,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.9127634018074007,Iba O'Este,Other
Longos,,PH0301407015,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.3911868686918156,Longos,Other
Meysulao,,PH0301407016,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.7340685794575643,Meysulao,Other
Meyto,,PH0301407017,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.4813539788446628,Meyto,Other
Palimbang,,PH0301407018,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.3067527574419962,Palimbang,Other
Panducot,,PH0301407019,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.1047861685621747,Panducot,Other
Pio Cruzcosa,,PH0301407020,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.251615776948259,Pio Cruzcosa,Other
Poblacion,,PH0301407021,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.1745929819933821,Poblacion,Poblacion (Town Proper)
Pungo,,PH0301407022,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,7.126345497686034,Pungo,Other
San Jose,,PH0301407023,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.8791816162392774,San Jose,Religious
San Marcos,,PH0301407024,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.36661109033338474,San Marcos,Religious
San Miguel,,PH0301407025,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.509526331598399,San Miguel,Religious
Santa Lucia,,PH0301407026,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.2860228335809736,Santa Lucia,Religious
Santo Nino,,PH0301407027,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.3482395662597342,Santo Niño,Religious
Sapang Bayan,,PH0301407028,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.9911754692330788,Sapang Bayan,Other
Sergio Bayan,,PH0301407029,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6123663963484726,Sergio Bayan,Other
Sucol,,PH0301407030,Calumpit,PH0301407,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.04439473111411142,Sucol,Other
Cutcut,,PH0301408001,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.2980996475902122,Cutcut,Other
Daungan,,PH0301408002,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.2583901425808106,Daungan,Other
Ilang-Ilang,,PH0301408003,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.6602095030361746,Ilang-Ilang,Other
Malis,,PH0301408004,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.495811151931107,Malis,Other
Panginay,,PH0301408005,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.526149993309046,Panginay,Other
Poblacion,,PH0301408006,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.8660838106184268,Poblacion,Poblacion (Town Proper)
Pritil,,PH0301408007,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.9144033233150377,Pritil,Other
Pulong Gubat,,PH0301408008,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.0450377329675753,Pulong Gubat,Other
Santa Cruz,,PH0301408009,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.4085946781920637,Santa Cruz,Religious
Santa Rita,,PH0301408010,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.8976514432468887,Santa Rita,Religious
Tabang,,PH0301408011,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.6569605349018481,Tabang,Other
Tabe,,PH0301408012,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.0857441481670977,Tabe,Other
Tiaong,,PH0301408013,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.6136264359904295,Tiaong,Other
Tuktukan,,PH0301408015,Guiguinto,PH0301408,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.5907413163898836,Tuktukan,Other
Abulalas,,PH0301409001,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.1399604186305914,Abulalas,Other
Carillo,,PH0301409002,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.0193846801163586,Carillo,Other
Iba,,PH0301409003,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.0235718074199696,Iba,Other
Mercado,,PH0301409004,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.8418204112928809,Mercado,Other
Palapat,,PH0301409005,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.9773998430424558,Palapat,Other
Pugad,,PH0301409006,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,12.901730311674847,Pugad,Other
Sagrada Familia,,PH0301409007,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,6.238771949442838,Sagrada Familia,Other
San Agustin,,PH0301409008,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.7755914791804397,San Agustin,Religious
San Isidro,,PH0301409009,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.8681574609528375,San Isidro,Religious
San Jose,,PH0301409011,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.194455259445397,San Jose,Religious
San Juan,,PH0301409012,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.0957514483468358,San Juan,Religious
San Miguel,,PH0301409013,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.8835104955844966,San Miguel,Religious
San Nicolas,,PH0301409014,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.5122459203694133,San Nicolas,Religious
San Pablo,,PH0301409015,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.003092472735652,San Pablo,Religious
San Pascual,,PH0301409016,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,5.979883196189572,San Pascual,Religious
San Pedro,,PH0301409017,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,1.1990996056299124,San Pedro,Religious
San Roque,,PH0301409018,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,13.841987203347857,San Roque,Religious
San Sebastian,,PH0301409019,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,2.1656364673299646,San Sebastian,Religious
Santa Cruz,,PH0301409020,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,0.207381156769554,Santa Cruz,Religious
Santa Elena,,PH0301409021,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,3.6366566233596562,Santa Elena,Religious
Santa Monica,,PH0301409022,Hagonoy,PH0301409,Bulacan,PH03014,Region III,Central Luzon,PH03,Luzon,The Philippines,PH,4.610372158470454,Santa Monica,Religious
